,0,1,2,3,4,5,6,7
14.0,-0.0345096014362,-0.0377759763541,0.0,0.0,0.512174305895,-0.0699254547617,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,-0.02030351,0.0,-0.0168059168381
20.0,-0.0180396622495,0.0,-0.0202038449,0.0,0.0,-0.00858641098695,0.0,0.0215612530236
10.0,-0.00979695996374,0.121982259457,-0.0178918046349,0.0,-0.020119216451,0.0,-0.0164165479667,0.0
15.0,-0.0200206742865,0.0,0.0,0.120805794951,0.0,0.0,-0.0187298322696,-0.0199244675436
19.0,0.0,0.0,0.0,0.0,0.0,0.0464911082626,0.0,0.0
17.0,-0.0190614301963,0.0,-0.018816426535,-0.010884310037,-0.0185611028771,0.0332029186984,0.0,0.0
12.0,-0.0247468928267,0.0236800715704,0.0,0.00890811263836,0.0,-0.0189013500354,-0.019480538777,-0.0189885858943
16.0,0.0,0.0,0.0,0.0,0.153727105748,0.0,-0.0196674715611,-0.0179719001135
11.0,0.0,0.167588463174,0.0,0.0,0.0,-0.0183208932473,0.0,-0.0195738068455
13.0,-0.0170190241898,0.0,0.0105697460167,0.130191065448,0.0,0.0,0.0,0.0
9.0,-0.00711784313467,0.0,-0.008980323588,-0.0160641349808,-0.0193881936693,-0.0162738112432,-0.0158374437704,-0.0158787310813
8.0,0.0852930413321,0.0,0.0,0.0,0.0,0.0,-0.0193118117326,0.0
18.0,0.0,-0.0184065159322,-0.0363042996988,0.0,0.00200433986726,0.0,-0.0173460141059,-0.0184895716487
7.0,0.0693720618351,0.0,0.0,0.0,0.0,0.0,-0.0161697090083,0.0
6.0,0.0,-0.0172192103615,-0.0175898763541,0.0,0.0,-0.0178303865886,-0.0175260070169,-0.0163458265861
